"","State","Brewery_id","Beer_ID","City","IBU","ABV","Beer_Name","Brewery_Name","Type"
"151"," CA",369,796,"San Francisco",70,7,"Brew Free! or Die IPA (2009)","21st Amendment Brewery","IPA"
"152"," CA",172,367,"Boonville",80,7,"Hop Ottin' IPA (2011)","Anderson Valley Brewing Company","IPA"
"159"," CA",241,1641,"Los Angeles",92,9.4,"Better Weather IPA","Golden Road Brewing","IPA"
"165"," CA",369,797,"San Francisco",70,7,"Brew Free! or Die IPA (2008)","21st Amendment Brewery","IPA"
"168"," CA",321,1772,"Claremont",60,6.7,"Jacaranada Rye IPA","Claremont Craft Ales","IPA"
"169"," CA",351,1647,"San Luis Obispo",99,9.5,"Terrace Hill Double IPA","Central Coast Brewing Company","IPA"
"173"," CA",172,1327,"Boonville",80,7,"Hop Ottin' IPA","Anderson Valley Brewing Company","IPA"
"175"," CA",34,2034,"Torrance",42,5,"South Bay Session IPA","The Dudes' Brewing Company","IPA"
"177"," CA",369,799,"San Francisco",70,7,"21st Amendment IPA (2006)","21st Amendment Brewery","IPA"
"179"," CA",351,1648,"San Luis Obispo",85,7.2,"Lucky Day IPA","Central Coast Brewing Company","IPA"
"195"," CA",450,1229,"San Diego",95,8,"Dodgy Knight Imperial IPA","TailGate Beer","IPA"
"200"," CA",241,1698,"Los Angeles",70,8,"Wolf Among Weeds IPA","Golden Road Brewing","IPA"
"207"," CA",113,1898,"Temecula",35,7.5,"Blackmarket Rye IPA","Black Market Brewing Company","IPA"
"210"," CA",241,1296,"Los Angeles",60,5.9,"Point the Way IPA","Golden Road Brewing","IPA"
"212"," CA",450,663,"San Diego",44,5,"TailGate IPA","TailGate Beer","IPA"
"214"," CA",79,2486,"San Francisco",35,4.7,"Baby Daddy Session IPA","Speakasy Ales & Lagers","IPA"
"216"," CA",241,1399,"Los Angeles",65,6.8,"Heal the Bay IPA","Golden Road Brewing","IPA"
"222"," CA",99,1459,"San Diego",75,9.2,"Shipwrecked Double IPA","Mission Brewery","IPA"
"223"," CA",398,1478,"Sacramento",55,7.3,"CAPT Black IPA","Ruhstaller Beer Company","IPA"
"226"," CA",347,1673,"Santee",88,8,"Manzanita IPA","Manzanita Brewing Company","IPA"
"236"," CA",450,662,"San Diego",44,5,"TailGate IPA","TailGate Beer","IPA"
"237"," CA",241,750,"Los Angeles",70,8,"Burning Bush Smoked IPA","Golden Road Brewing","IPA"
"239"," CA",241,549,"Los Angeles",60,5.9,"Point the Way IPA (2012)","Golden Road Brewing","IPA"
"243"," CA",398,883,"Sacramento",55,7.3,"CAPT Black IPA","Ruhstaller Beer Company","IPA"
"245"," CA",99,2441,"San Diego",66,6.8,"Mission IPA","Mission Brewery","IPA"
"246"," CA",281,1893,"Mill Valley",77,8.8,"Hill 88 Double IPA","Headlands Brewing Company","IPA"
"249"," CA",241,749,"Los Angeles",70,8,"Wolf Among Weeds IPA (2012)","Golden Road Brewing","IPA"
"251"," CA",492,730,"Belmont",85,7.1,"California Sunshine Rye IPA","Devil's Canyon Brewery","IPA"
"264"," CA",369,10,"San Francisco",65,7,"Brew Free! or Die IPA","21st Amendment Brewery","IPA"
"277"," CO",264,1944,"Denver",40,7,"Incredible Pedal IPA","Denver Beer Company","IPA"
"285"," CO",265,1942,"Durango",40,4.5,"Rudie Session IPA","Ska Brewing Company","IPA"
"298"," CO",167,565,"Longmont",40,8,"Deviant Dale's IPA","Oskar Blues Brewery","IPA"
"323"," CO",420,1391,"Boulder",65,6.8,"Sanitas Black IPA","Sanitas Brewing Company","IPA"
"332"," CO",221,1762,"Broomfield",104,9.5,"Hemlock Double IPA","Big Choice Brewing","IPA"
"343"," CO",452,964,"Aurora",40,6.5,"Dank IPA (2012)","Dad & Dude's Breweria","IPA"
"351"," CO",7,2642,"Denver",40,7.1,"Titan IPA","Great Divide Brewing Company","IPA"
"357"," CO",452,1224,"Aurora",40,6.5,"Dank IPA","Dad & Dude's Breweria","IPA"
"362"," CO",83,564,"Fort Collins",70,6.5,"Ranger IPA","New Belgium Brewing Company","IPA"
"366"," CO",481,827,"Telluride",40,6.4,"Tempter IPA","Telluride Brewing Company","IPA"
"384"," CO",167,6,"Longmont",100,9.9,"GUBNA Imperial IPA","Oskar Blues Brewery","IPA"
"391"," CO",392,193,"Denver",68,6.2,"Lucky U IPA","Breckenridge Brewery","IPA"
"403"," CO",83,115,"Fort Collins",70,6.5,"Ranger IPA (Current)","New Belgium Brewing Company","IPA"
"409"," CO",108,1517,"Eagle",40,6.8,"Pink-I Raspberry IPA","Bonfire Brewing Company","IPA"
"423"," CO",516,556,"Greeley",71,7.7,"Eclipse Black IPA","Crabtree Brewing Company","IPA"
"448"," CO",292,1856,"Idaho Springs",87,7.3,"IPA & a Half","Tommyknocker Brewery","IPA"
"483"," CO",111,1176,"Denver",100,7,"Redacted Rye IPA","Renegade Brewing Company","IPA"
"485"," CO",83,2230,"Fort Collins",70,6.5,"Ranger IPA","New Belgium Brewing Company","IPA"
"494"," CO",356,1384,"Monument",75,7,"Elephant Rock IPA","Pikes Peak Brewing Company","IPA"
"497"," CO",342,1684,"Palisade",40,4.8,"Hula Hoppie Session IPA","Palisade Brewing Company","IPA"
"499"," CO",111,636,"Denver",100,7,"Ryeteous Rye IPA (2012)","Renegade Brewing Company","IPA"
"510"," CO",167,1750,"Longmont",40,6.05,"Birth IPA","Oskar Blues Brewery","IPA"
"519"," CO",167,2302,"Longmont",35,4.9,"Pinner Throwback IPA","Oskar Blues Brewery","IPA"
"524"," CO",370,1382,"Buena Vista",74,7.8,"Crank Yanker IPA","Eddyline Brewery & Restaurant","IPA"
"530"," CO",52,1932,"Boulder",33,6.5,"Thai Style White IPA","Upslope Brewing Company","IPA"
"532"," CO",370,395,"Buena Vista",74,7.8,"Crank Yanker IPA (2011)","Eddyline Brewery & Restaurant","IPA"
"536"," CT",411,42,"Woodbridge",85,8.8,"Gandhi-Bot Double IPA (16 oz.) (2010)","New England Brewing Company","IPA"
"538"," CT",411,320,"Woodbridge",85,8.8,"Gandhi-Bot Double IPA (12 oz.)","New England Brewing Company","IPA"
"539"," CT",411,39,"Woodbridge",29,6.2,"Sea Hag IPA (Current)","New England Brewing Company","IPA"
"542"," CT",436,1189,"Stratford",29,6,"Honeyspot Road White IPA","Two Roads Brewing Company","IPA"
"544"," CT",131,2368,"Wolcott",29,6.8,"Black Hop IPA","Shebeen Brewing Company","IPA"
"545"," CT",436,1171,"Stratford",29,7.2,"Road 2 Ruin Double IPA","Two Roads Brewing Company","IPA"
"554"," CT",411,885,"Woodbridge",29,6.2,"Sea Hag IPA","New England Brewing Company","IPA"
"556"," CT",236,1132,"Bloomfield",29,7,"Misty Mountain IPA","Back East Brewing Company","IPA"
"579"," FL",142,1694,"Tampa",60,7,"Dry-Hopped On The High Seas Caribbean-Style IPA","Cigar City Brewing Company","IPA"
"584"," FL",142,1141,"Tampa",70,7.5,"Jai Alai IPA Aged on White Oak","Cigar City Brewing Company","IPA"
"587"," FL",528,558,"Jacksonville",55,6.8,"I-10 IPA","Intuition Ale Works","IPA"
"599"," FL",309,1801,"Tampa",60,7.2,"Last Stop IPA","Brew Bus Brewing","IPA"
"600"," FL",222,2096,"Odessa",81,6.9,"Arcus IPA","Big Storm Brewing Company","IPA"
"608"," FL",142,546,"Tampa",70,7.5,"Jai Alai IPA","Cigar City Brewing Company","IPA"
"612"," FL",341,1685,"Boynton Beach",64,6.1,"Category 3 IPA","Due South Brewing Company","IPA"
"619"," FL",394,1506,"Miami",62,7.1,"Miami Vice IPA","Miami Brewing Company","IPA"
"628"," FL",379,1569,"Jacksonville",55,6.5,"Mad Manatee IPA","Bold City Brewery","IPA"
"630"," FL",491,544,"Tampa",80,7,"Old Elephant Foot IPA","Tampa Bay Brewing Company","IPA"
"634"," GA",50,1710,"Atlanta",55,6.4,"SweetWater IPA","SweetWater Brewing Company","IPA"
"642"," GA",476,938,"Marietta",55,6.2,"Gangway IPA","Red Hare Brewing Company","IPA"
"658"," HI",376,31,"Lahaina",65,6.2,"Big Swell IPA","Maui Brewing Company","IPA"
"668"," HI",204,2185,"Hilo",75,7.2,"Tsunami IPA","Mehana Brewing Co.","IPA"
"673"," HI",204,2186,"Hilo",75,7.2,"Tsunami IPA","Mehana Brewing Co.","IPA"
"683"," IA",483,970,"Des Moines",75,6.8,"Des Moines IPA","Confluence Brewing Company","IPA"
"689"," IA",209,2163,"Kalona",26,7.1,"Sucha Much IPA","Kalona Brewing Company","IPA"
"700"," IA",366,540,"Davenport",70,7,"Big Cock IPA","Great River Brewery","IPA"
"708"," ID",310,879,"Boise",100,6.3,"Dagger Falls IPA","Sockeye Brewing Company","IPA"
"715"," ID",308,1048,"Garden City",65,6.2,"Outlaw IPA","Payette Brewing Company","IPA"
"718"," ID",310,1447,"Boise",39,7.9,"Hopnoxious Imperial IPA","Sockeye Brewing Company","IPA"
"721"," ID",310,1596,"Boise",100,6.3,"Dagger Falls IPA","Sockeye Brewing Company","IPA"
"722"," ID",219,1396,"Ponderay",66,6.4,"Laughing Dog IPA","Laughing Dog Brewing Company","IPA"
"730"," ID",310,1595,"Boise",100,6.3,"Dagger Falls IPA","Sockeye Brewing Company","IPA"
"732"," ID",310,1655,"Boise",39,9.2,"Double Dagger Imperial IPA","Sockeye Brewing Company","IPA"
"735"," IL",45,415,"Chicago",70,6.5,"Anti-Hero IPA","Revolution Brewing Company","IPA"
"765"," IL",362,430,"Lake Barrington",100,8.2,"Hop Slayer Double IPA (2011)","Wild Onion Brewing Company","IPA"
"770"," IL",75,642,"Warrenville",30,6.5,"Outlaw IPA (2015)","Two Brothers Brewing Company","IPA"
"773"," IL",362,740,"Lake Barrington",100,8.2,"Hop Slayer Double IPA (2011)","Wild Onion Brewing Company","IPA"
"777"," IL",328,1753,"Chicago",30,7,"Heyoka IPA","Half Acre Beer Company","IPA"
"781"," IL",58,2025,"Bloomington",76,6.3,"Vertex IPA","Destihl Brewery","IPA"
"783"," IL",41,2585,"Murphysboro",60,7.5,"Galaxy IPA","Big Muddy Brewing","IPA"
"788"," IL",176,2206,"Chicago",30,9.6,"Bitter Biker Double IPA","Spiteful Brewing Company","IPA"
"802"," IL",362,1619,"Lake Barrington",100,8.2,"Hop Slayer Double IPA","Wild Onion Brewing Company","IPA"
"818"," IL",257,481,"Chicago",30,7.5,"Threadless IPA","Finch's Beer Company","IPA"
"821"," IL",176,1819,"Chicago",30,6.2,"Spiteful IPA","Spiteful Brewing Company","IPA"
"824"," IL",176,1821,"Chicago",30,9.6,"Bitter Biker Double IPA","Spiteful Brewing Company","IPA"
"848"," IN",18,1449,"Evansville",115,8.5,"Overlord Imperial IPA","Tin Man Brewing Company","IPA"
"857"," IN",166,1701,"Aurora",60,6.2,"Great Crescent IPA","Great Crescent Brewery","IPA"
"880"," IN",206,2168,"Lafayette",62,6.2,"Amazon Princess IPA","People's Brewing Company","IPA"
"888"," IN",203,1950,"Bloomington",33,6,"Dragonfly IPA","Upland Brewing Company","IPA"
"893"," IN",359,1623,"Shelbyville",33,7.2,"Lift Off IPA","Daredevil Brewing Company","IPA"
"905"," IN",316,1786,"Avon",33,6.3,"Half Court IPA","Cutters Brewing Company","IPA"
"915"," IN",25,2158,"Michigan City",86,7.2,"3:33 Black IPA","Burn 'Em Brewing","IPA"
"934"," IN",203,2190,"Bloomington",50,4.5,"Campside Session IPA","Upland Brewing Company","IPA"
"944"," IN",17,1610,"Indianapolis",104,6,"Half Cycle IPA","Flat 12 Bierwerks","IPA"
"947"," IN",206,2175,"Lafayette",77,6.5,"Mound Builder IPA","People's Brewing Company","IPA"
"959"," IN",166,436,"Aurora",60,6.2,"Great Crescent IPA (2011)","Great Crescent Brewery","IPA"
"965"," KS",46,1017,"Manhattan",110,6.8,"Ethos IPA","Tallgrass Brewing Company","IPA"
"984"," KS",46,101,"Manhattan",60,6.3,"Tallgrass IPA","Tallgrass Brewing Company","IPA"
"993"," KY",101,652,"Lexington",31.5,6.25,"West Sixth IPA","West Sixth Brewing","IPA"
"999"," KY",389,1149,"Lexington",31.5,6.5,"Kentucky IPA","Alltech's Lexington Brewing Company","IPA"
"1014"," LA",153,1755,"Baton Rouge",60,7,"Juke Joint IPA","Tin Roof Brewing Company","IPA"
"1020"," LA",175,486,"New Orleans",31.5,6.5,"Hopitoulas IPA","New Orleans Lager & Ale Brewing ...","IPA"
"1021"," LA",534,516,"Abita Springs",52,6.5,"Jockamo IPA","Abita Brewing Company","IPA"
"1042"," MA",104,2420,"Lowell",85,6.8,"Back Bay IPA","Beer Works Brewery","IPA"
"1048"," MA",231,2066,"Gloucester",64,5.5,"Fisherman's IPA","Cape Ann Brewing Company","IPA"
"1052"," MA",296,618,"Westminster",55,6,"Green Monsta IPA","Wachusett Brewing Company","IPA"
"1056"," MA",231,2067,"Gloucester",130,9,"Dead-Eye DIPA","Cape Ann Brewing Company","IPA"
"1061"," MA",296,1846,"Westminster",37,4,"Wachusett Light IPA","Wachusett Brewing Company","IPA"
"1063"," MA",235,770,"Boston",42,5.9,"Harpoon IPA (2012)","Harpoon Brewery","IPA"
"1066"," MA",305,1812,"Canton",80,8,"Quarter Mile Double IPA","Blue Hills Brewery","IPA"
"1075"," MA",296,1845,"Westminster",55,6,"Green Monsta IPA","Wachusett Brewing Company","IPA"
"1077"," MA",235,126,"Boston",42,5.9,"Harpoon IPA (2010)","Harpoon Brewery","IPA"
"1081"," MA",296,1844,"Westminster",50,5.6,"Wachusett IPA","Wachusett Brewing Company","IPA"
"1082"," MA",235,1653,"Boston",45,6.2,"The Long Thaw White IPA","Harpoon Brewery","IPA"
"1083"," MA",478,1003,"Sheffield",35,7,"Big Elm IPA","Big Elm Brewing","IPA"
"1084"," MA",340,1697,"Worcester",69,6.5,"Be Hoppy IPA","Wormtown Brewery","IPA"
"1094"," MA",279,1900,"South Deerfield",40,5.5,"Lost Sailor IPA","Berkshire Brewing Company","IPA"
"1095"," MA",235,1379,"Boston",42,5.9,"Harpoon IPA","Harpoon Brewery","IPA"
"1097"," MA",296,1418,"Westminster",85,8.5,"Larry Imperial IPA","Wachusett Brewing Company","IPA"
"1099"," MA",272,1917,"Ipswich",35,4.3,"Left of the Dial IPA","Notch Brewing Company","IPA"
"1100"," MA",294,1854,"Northamtpon",35,6.9,"Blue Boots IPA","Northampton Brewery","IPA"
"1102"," MA",301,1629,"Boston",45,6.5,"Rebel IPA","Boston Beer Company","IPA"
"1105"," MA",496,915,"Newburyport",35,7.2,"Green Head IPA","Newburyport Brewing Company","IPA"
"1108"," MA",296,1029,"Westminster",37,4,"Wachusett Light IPA (2013)","Wachusett Brewing Company","IPA"
"1111"," MD",69,2514,"Mt. Airy",29,7,"Suicide Blonde IPA","Red Shedman Farm Brewery and Hop...","IPA"
"1116"," MD",522,608,"Frederick",60,7.1,"Snake Dog IPA","Flying Dog Brewery","IPA"
"1123"," MD",69,2515,"Mt. Airy",45,5.5,"Pump House IPA","Red Shedman Farm Brewery and Hop...","IPA"
"1137"," ME",386,1539,"Portland",65,6.9,"Monkey Fist IPA","Shipyard Brewing Company","IPA"
"1142"," ME",318,1783,"Belfast",61,7.2,"Toughcats IPA","Marshall Wharf Brewing Company","IPA"
"1146"," ME",293,182,"Lewiston",69,6.9,"Stowaway IPA","Baxter Brewing Company","IPA"
"1148"," ME",107,2426,"Pineland",70,6.7,"Clean Shave IPA","Glabrous Brewing Company","IPA"
"1163"," MI",11,2092,"Grand Rapids",35,6.2,"BRIPA","Brewery Vivant","IPA"
"1171"," MI",11,669,"Grand Rapids",35,9.7,"Trebuchet Double IPA (2012)","Brewery Vivant","IPA"
"1181"," MI",122,2380,"Cheboygan",58,5.7,"IPA #11","Cheboygan Brewing Company","IPA"
"1190"," MI",254,1556,"Frankenmuth",69,6.9,"Batch 69 IPA","Frankenmuth Brewery","IPA"
"1195"," MI",397,1498,"Hudsonville",35,6,"Super G IPA","White Flame Brewing Company","IPA"
"1202"," MI",73,528,"Detroit",62,5,"Grand Circus IPA","Atwater Brewery","IPA"
"1254"," MI",125,2007,"Birmingham",55,4,"Norm's Gateway IPA","Griffin Claw Brewing Company","IPA"
"1262"," MI",230,158,"Rochester",35,7,"Cornerstone IPA","Rochester Mills Brewing Company","IPA"
"1282"," MI",16,1223,"Grand Rapids",42,4.7,"All Day IPA","Founders Brewing Company","IPA"
"1289"," MI",11,2597,"Grand Rapids",35,6,"Linnaeus Mango IPA","Brewery Vivant","IPA"
"1295"," MI",11,1443,"Grand Rapids",35,9.3,"Trebuchet Double IPA","Brewery Vivant","IPA"
"1297"," MI",13,1481,"Marquette",51,7,"51K IPA","Blackrocks Brewery","IPA"
"1305"," MI",125,2139,"Birmingham",35,7.5,"Norm's Raggedy Ass IPA","Griffin Claw Brewing Company","IPA"
"1315"," MI",14,2628,"Comstock Park",35,5,"Grapefruit IPA","Perrin Brewing Company","IPA"
"1316"," MI",16,1565,"Grand Rapids",65,7.2,"Centennial IPA","Founders Brewing Company","IPA"
"1332"," MN",475,1026,"Minnetonka",44.5,6.8,"Preservation IPA","Tonka Beer Company","IPA"
"1339"," MN",62,1112,"Brooklyn Center",69,7.3,"Overrated! West Coast Style IPA","Surly Brewing Company","IPA"
"1341"," MN",445,985,"Vadnais Heights",50,6.6,"Bark Bite IPA","Big Wood Brewery","IPA"
"1349"," MN",54,2557,"Roseville",44.5,8.3,"Uber Lupin Schwarz IPA","Bent Brewstillery","IPA"
"1356"," MN",76,1901,"Duluth",68,6.2,"Bent Hop Golden IPA","Bent Paddle Brewing Company","IPA"
"1361"," MN",445,1255,"Vadnais Heights",76,9.8,"Bad Axe Imperial IPA","Big Wood Brewery","IPA"
"1372"," MN",278,1903,"Minneapolis",90,6.8,"Let It Ride IPA","Indeed Brewing Company","IPA"
"1375"," MO",443,1258,"O'Fallon",66,6.1,"5 Day IPA","O'Fallon Brewery","IPA"
"1378"," MO",315,1540,"Bucryus",24,7,"Masked Bandit IPA","Piney River Brewing Company","IPA"
"1384"," MO",429,1078,"Saint Louis",30,4.5,"Schlafly IPA","Schlafly Brewing Company","IPA"
"1415"," MO",133,2343,"Weston",89,7.5,"O’Malley’s IPA","Weston Brewing Company","IPA"
"1418"," MS",134,2362,"Hattiesburg",72,7.5,"2014 IPA Cicada Series","Southern Prohibition Brewing Com...","IPA"
"1420"," MS",134,2346,"Hattiesburg",65,7.7,"Sinister Minister Black IPA","Southern Prohibition Brewing Com...","IPA"
"1431"," MT",538,474,"Helena",40,5.7,"Tumbleweed IPA","Lewis and Clark Brewing Company","IPA"
"1432"," MT",511,758,"Missoula",65,6.5,"Double Haul IPA (2006)","Kettle House Brewing Company","IPA"
"1439"," MT",337,1714,"Missoula",65,6.2,"Big Sky IPA","Big Sky Brewing Company","IPA"
"1440"," MT",337,579,"Missoula",65,6.2,"Big Sky IPA (2012)","Big Sky Brewing Company","IPA"
"1450"," MT",511,759,"Missoula",65,6.5,"Double Haul IPA (2009)","Kettle House Brewing Company","IPA"
"1452"," MT",511,86,"Missoula",65,6.5,"Double Haul IPA","Kettle House Brewing Company","IPA"
"1453"," MT",410,1433,"Lakeside",40,6.8,"Hat Trick Hop IPA","Tamarack Brewing Company","IPA"
"1466"," MT",220,1289,"Bozeman",80,7,"Bozone HopZone IPA","Bozeman Brewing Company","IPA"
"1480"," NC",325,1760,"Black Mountain",51,6.9,"GreyBeard™ IPA","Pisgah Brewing Company","IPA"
"1486"," NC",529,428,"Asheville",69,6,"Shiva IPA","Asheville Brewing Company","IPA"
"1502"," NC",180,530,"Pittsboro",33.5,5.7,"Flagship IPA","Carolina Brewery","IPA"
"1507"," NC",390,1328,"Brevard",85,8,"Deviant Dale's IPA","Oskar Blues Brewery (North Carol...","IPA"
"1524"," NC",360,1621,"Charlotte",80,7.2,"Hop Drop 'N Roll IPA","NoDa Brewing Company","IPA"
"1526"," ND",336,1435,"Fargo",19,4.5,"Stone's Throw IPA","Fargo Brewing Company","IPA"
"1538"," NE",283,1222,"Kearney",35,6.5,"Cropduster Mid-American IPA","Thunderhead Brewing Company","IPA"
"1540"," NE",381,1319,"Lincoln",35,9.6,"Pernicious Double IPA","Blue Blood Brewing Company","IPA"
"1551"," NE",381,1025,"Lincoln",35,5.6,"N Street Drive-In 50th Anniversary IPA","Blue Blood Brewing Company","IPA"
"1559"," NH",110,2417,"North Woodstock",82,6.5,"4000 Footer IPA","Woodstock Inn, Station & Brewery","IPA"
"1568"," NJ",282,1891,"Ridgefield Park",30,4.2,"Longhop IPA","Bolero Snort Brewery","IPA"
"1572"," NM",266,1938,"Albuquerque",72,6.2,"Almanac IPA","Tractor Brewing Company","IPA"
"1576"," NM",333,664,"Albuquerque",100,7.2,"Elevated IPA","La Cumbre Brewing Company","IPA"
"1577"," NM",393,217,"Santa Fe",51,6.6,"Happy Camper IPA","Santa Fe Brewing Company","IPA"
"1581"," NM",393,967,"Santa Fe",95,7.1,"Black IPA","Santa Fe Brewing Company","IPA"
"1589"," NV",531,538,"Reno",41,8,"Tour de Nez Belgian IPA (Current)","Buckbean Brewing Company","IPA"
"1591"," NV",234,468,"Henderson",90,9.3,"Hop Box Imperial IPA","Joseph James Brewing Company","IPA"
"1597"," NY",300,1135,"Utica",60,6.5,"Our Legacy IPA","Matt Brewing Company","IPA"
"1601"," NY",557,51,"Garrattsville",47,6.8,"Snapperhead IPA","Butternuts Beer and Ale","IPA"
"1618"," NY",300,686,"Utica",47,6,"Saranac White IPA","Matt Brewing Company","IPA"
"1625"," NY",300,1831,"Utica",60,6.5,"Our Legacy IPA","Matt Brewing Company","IPA"
"1660"," NY",490,692,"Patchogue",40,6,"Blue Point White IPA","Blue Point Brewing Company","IPA"
"1683"," OH",225,2088,"Middleburg Heights",80,7,"Hop Stalker Fresh Hop IPA","Fat Head's Brewery","IPA"
"1688"," OH",322,1771,"Lockland",55,5,"Lil SIPA","Rivertown Brewing Company","IPA"
"1690"," OH",184,1765,"Columbus",68,7,"Golden Ratio IPA","Seventh Son Brewing Company","IPA"
"1691"," OH",100,2440,"Cincinnati",126,8.9,"Bay of Bengal Double IPA (2014)","Christian Moerlein Brewing Company","IPA"
"1700"," OH",106,2424,"Columbus",70,7,"Big Star White IPA","Four String Brewing Company","IPA"
"1711"," OH",93,689,"Athens",40,7,"Mystic Mama IPA","Jackie O's Pub & Brewery","IPA"
"1721"," OK",183,1442,"Oklahoma City",100,6.8,"F5 IPA","COOP Ale Works","IPA"
"1733"," OK",377,1576,"Midwest City",80,7,"RoughTail IPA","RoughTail Brewing Company","IPA"
"1744"," OR",465,1109,"Bend",70,7,"Descender IPA","Good Life Brewing Company","IPA"
"1757"," OR",495,918,"Silverton",105,7,"Frankenlou's IPA","Seven Brides Brewery","IPA"
"1760"," OR",207,1566,"Astoria",40,6.2,"Next Adventure Black IPA","Fort George Brewery","IPA"
"1761"," OR",156,36,"Ashland",94,6.1,"Caldera IPA","Caldera Brewing Company","IPA"
"1765"," OR",199,1353,"Springfield",90,6.5,"Alphadelic IPA","Hop Valley Brewing Company","IPA"
"1773"," OR",199,1543,"Springfield",70,6.3,"Proxima IPA","Hop Valley Brewing Company","IPA"
"1775"," OR",207,1515,"Astoria",40,6.7,"3-Way IPA (2013)","Fort George Brewery","IPA"
"1781"," OR",81,653,"Portland",75,6.6,"Hopworks IPA (2012)","Hopworks Urban Brewery","IPA"
"1786"," OR",156,792,"Ashland",94,6.1,"Caldera IPA (2007)","Caldera Brewing Company","IPA"
"1801"," OR",207,1911,"Astoria",40,4.5,"Suicide Squeeze IPA","Fort George Brewery","IPA"
"1810"," OR",151,999,"Eugene",70,6.7,"Watershed IPA (2013)","Oakshire Brewing","IPA"
"1811"," OR",200,1512,"Bend",69,6.9,"Worthy IPA (2013)","Worthy Brewing Company","IPA"
"1816"," OR",156,2315,"Ashland",100,6.8,"Hopportunity Knocks IPA","Caldera Brewing Company","IPA"
"1818"," OR",151,2331,"Eugene",70,6.7,"Watershed IPA","Oakshire Brewing","IPA"
"1824"," OR",375,980,"Astoria",138,8.2,"Bitter Bitch Imperial IPA","Astoria Brewing Company","IPA"
"1838"," OR",207,318,"Astoria",97,7.4,"Vortex IPA","Fort George Brewery","IPA"
"1840"," OR",81,2199,"Portland",75,6.6,"Hopworks IPA","Hopworks Urban Brewery","IPA"
"1841"," OR",118,2401,"Portland",103,8.2,"Yellow Wolf Imperial IPA","Alameda Brewing","IPA"
"1842"," OR",156,793,"Ashland",94,6.1,"Caldera IPA (2009)","Caldera Brewing Company","IPA"
"1849"," OR",200,2194,"Bend",69,6.9,"Worthy IPA","Worthy Brewing Company","IPA"
"1851"," OR",117,2323,"Portland",60,6.7,"Ultra Gnar Gnar IPA","Base Camp Brewing Co.","IPA"
"1856"," OR",199,499,"Springfield",90,6.5,"Alphadelic IPA (2011)","Hop Valley Brewing Company","IPA"
"1858"," OR",154,2316,"Sisters",82,6.2,"Hoodoo Voodoo IPA","Three Creeks Brewing","IPA"
"1860"," OR",437,1282,"Medford",65,5.5,"Nice Rack IPA","Southern Oregon Brewing Company","IPA"
